iter	Passed	Remaining
428	1634	2175
429	1638	2171
430	1641	2166
431	1644	2161
432	1647	2157
433	1651	2153
434	1654	2148
435	1658	2145
436	1661	2140
437	1665	2136
438	1669	2133
439	1672	2128
440	1675	2123
441	1677	2118
442	1680	2113
443	1683	2108
444	1686	2103
445	1690	2100
446	1693	2094
447	1696	2089
448	1700	2086
449	1703	2082
450	1706	2077
451	1709	2073
452	1712	2068
453	1716	2064
454	1719	2059
455	1722	2054
456	1725	2050
457	1731	2049
458	1737	2048
459	1744	2048
460	1750	2046
461	1755	2044
462	1759	2041
463	1762	2036
464	1766	2032
465	1769	2028
466	1772	2023
467	1777	2020
468	1781	2016
469	1784	2012
470	1788	2008
471	1794	2007
472	1796	2002
473	1800	1997
474	1806	1996
475	1810	1993
476	1813	1988
477	1816	1983
478	1821	1981
479	1826	1978
480	1830	1975
481	1833	1970
482	1837	1967
483	1842	1964
484	1845	1959
485	1850	1956
486	1855	1954
487	1858	1949
488	1862	1946
489	1865	1941
490	1869	1938
491	1872	1933
492	1876	1929
493	1880	1926
494	1885	1923
495	1888	1918
496	1892	1915
497	1897	1912
498	1900	1908
499	1903	1903
500	1907	1899
501	1910	1895
502	1914	1891
503	1917	1886
504	1919	1881
505	1922	1877
506	1926	1873
507	1929	1868
508	1932	1863
509	1937	1861
510	1942	1858
511	1945	1853
512	1948	1850
513	1954	1847
514	1958	1844
515	1962	1840
516	1965	1836
517	1969	1833
518	1972	1828
519	1975	1823
520	1980	1820
521	1982	1815
522	1986	1811
523	1990	1808
524	1993	1803
525	1996	1799
526	2000	1795
527	2006	1793
528	2009	1789
529	2012	1784
530	2016	1780
531	2018	1776
532	2021	1771
533	2024	1766
534	2027	1762
535	2030	1757
536	2033	1753
537	2038	1750
538	2042	1746
539	2044	1741
540	2048	1738
541	2051	1733
542	2054	1728
543	2057	1724
544	2060	1720
545	2068	1719
546	2071	1715
547	2075	1711
548	2079	1708
549	2082	1704
550	2086	1700
551	2089	1695
552	2094	1692
553	2098	1689
554	2101	1684
555	2104	1680
556	2108	1676
557	2111	1672
558	2114	1667
559	2116	1662
560	2119	1658
561	2123	1654
562	2125	1650
563	2128	1645
564	2133	1642
565	2136	1637
566	2139	1633
567	2142	1629
568	2146	1625
569	2149	1621
570	2152	1616
571	2155	1612
572	2159	1609
573	2163	1605
574	2166	1601
575	2170	1597
576	2172	1592
577	2175	1588
578	2178	1584
579	2181	1579
580	2184	1575
581	2187	1571
582	2191	1567
583	2194	1563
584	2198	1559
585	2200	1554
586	2203	1550
587	2206	1546
588	2209	1541
589	2212	1537
590	2215	1533
591	2219	1529
592	2222	1525
593	2226	1521
594	2228	1517
595	2231	1512
596	2236	1509
597	2239	1505
598	2242	1501
599	2245	1496
600	2248	1492
601	2251	1488
602	2253	1483
603	2258	1480
604	2262	1476
605	2264	1472
606	2269	1469
607	2272	1465
608	2275	1460
609	2279	1457
610	2282	1453
611	2285	1449
612	2289	1445
613	2292	1441
614	2296	1437
615	2300	1434
616	2303	1429
617	2307	1426
618	2312	1423
619	2317	1420
620	2319	1415
621	2323	1411
622	2326	1407
623	2328	1403
624	2331	1399
625	2336	1395
626	2339	1391
627	2342	1387
628	2344	1383
629	2348	1379
630	2350	1374
631	2354	1370
632	2357	1366
633	2360	1362
634	2362	1358
635	2365	1353
636	2370	1350
637	2372	1346
638	2377	1342
639	2381	1339
640	2385	1335
641	2387	1331
642	2392	1328
643	2396	1324
644	2398	1320
645	2402	1316
646	2406	1312
647	2409	1309
648	2418	1308
649	2422	1304
650	2425	1300
651	2432	1298
652	2436	1294
653	2440	1291
654	2443	1287
655	2447	1283
656	2451	1279
657	2454	1275
658	2462	1273
659	2468	1271
660	2471	1267
661	2475	1263
662	2482	1261
663	2487	1258
664	2490	1254
665	2493	1250
666	2497	1246
667	2500	1242
668	2504	1238
669	2508	1235
670	2515	1233
671	2520	1230
672	2523	1226
673	2527	1222
674	2539	1222
675	2553	1223
676	2567	1224
677	2573	1222
678	2583	1221
679	2592	1219
680	2595	1215
681	2600	1212
682	2607	1209
683	2612	1207
684	2620	1205
685	2624	1201
686	2633	1199
687	2639	1197
688	2646	1194
689	2651	1191
690	2659	1189
691	2665	1186
692	2670	1182
693	2676	1180
694	2682	1177
695	2688	1174
696	2695	1171
697	2701	1168
698	2707	1166
699	2713	1163
700	2720	1160
701	2728	1158
702	2743	1159
703	2751	1157
704	2761	1155
705	2767	1152
706	2771	1148
707	2779	1146
708	2784	1142
709	2796	1142
710	2804	1139
711	2822	1141
712	2842	1144
713	2847	1140
714	2854	1137
715	2860	1134
716	2872	1133
717	2883	1132
718	2889	1129
719	2900	1128
720	2906	1124
721	2916	1123
722	2923	1120
723	2929	1116
724	2937	1114
725	2943	1110
726	2953	1109
727	2967	1108
728	2974	1105
729	2989	1105
730	2994	1102
731	3004	1100
732	3012	1097
733	3024	1096
734	3032	1093
735	3042	1091
736	3053	1089
737	3066	1088
738	3076	1086
739	3085	1084
740	3101	1084
741	3106	1080
742	3113	1076
743	3122	1074
744	3129	1071
745	3136	1067
746	3141	1064
747	3153	1062
748	3158	1058
749	3169	1056
750	3180	1054
751	3184	1050
752	3194	1047
753	3205	1045
754	3216	1043
755	3224	1040
756	3232	1037
757	3241	1034
758	3245	1030
759	3250	1026
760	3257	1023
761	3262	1019
762	3265	1014
763	3269	1009
764	3271	1005
765	3275	1000
766	3282	997
767	3287	993
768	3292	989
769	3299	985
770	3302	980
771	3306	976
772	3311	972
773	3317	968
774	3321	964
775	3326	960
776	3333	956
777	3337	952
778	3347	949
779	3353	945
780	3360	942
781	3365	938
782	3370	933
783	3376	930
784	3379	925
785	3386	922
786	3393	918
787	3397	914
788	3403	910
789	3409	906
790	3412	901
791	3417	897
792	3424	893
793	3427	889
794	3437	886
795	3442	882
796	3451	879
797	3456	874
798	3462	871
799	3468	867
800	3473	862
801	3479	858
802	3485	855
803	3492	851
804	3505	849
805	3516	846
806	3520	841
807	3526	837
808	3533	834
809	3538	829
810	3541	825
811	3545	820
812	3549	816
813	3554	812
814	3560	808
815	3566	804
816	3572	800
817	3578	796
818	3582	791
819	3589	787
820	3595	783
821	3605	780
822	3610	776
823	3613	771
824	3619	767
825	3622	763
826	3628	758
827	3634	754
828	3638	750
829	3642	746
830	3649	742
831	3654	737
832	3662	734
833	3671	730
834	3674	726
835	3681	722
836	3684	717
837	3693	713
838	3698	709
839	3703	705
840	3707	700
841	3713	696
842	3718	692
843	3722	688
844	3729	684
845	3738	680
846	3743	676
847	3747	671
848	3756	668
849	3760	663
850	3764	659
851	3768	654
852	3775	650
853	3779	646
854	3782	641
855	3785	636
856	3790	632
857	3793	627
858	3796	623
859	3800	618
860	3803	614
861	3806	609
862	3811	605
863	3814	600
864	3817	595
865	3822	591
866	3824	586
867	3828	582
868	3833	577
869	3838	573
870	3841	568
871	3852	565
872	3868	562
873	3875	558
874	3883	554
875	3891	550
876	3896	546
877	3901	542
878	3908	538
879	3912	533
880	3917	529
881	3920	524
882	3927	520
883	3931	515
884	3936	511
885	3940	506
886	3945	502
887	3950	498
888	3956	494
889	3964	490
890	3969	485
891	3973	481
892	3975	476
893	3979	471
894	3983	467
895	3989	463
896	3994	458
897	3996	453
898	3999	449
899	4005	445
900	4011	440
901	4014	436
902	4017	431
903	4023	427
904	4029	423
905	4046	419
906	4057	415
907	4064	411
908	4073	407
909	4077	403
910	4082	398
911	4085	394
912	4088	389
913	4093	385
914	4097	380
915	4100	376
916	4105	371
917	4110	367
918	4117	362
919	4121	358
920	4125	353
921	4130	349
922	4134	344
923	4140	340
924	4144	336
925	4147	331
926	4151	326
927	4156	322
928	4161	318
929	4165	313
930	4168	308
931	4174	304
932	4178	300
933	4182	295
934	4185	290
935	4189	286
936	4193	281
937	4196	277
938	4199	272
939	4204	268
940	4208	263
941	4211	259
942	4215	254
943	4219	250
944	4222	245
945	4226	241
946	4230	236
947	4233	232
948	4237	227
949	4242	223
950	4245	218
951	4248	214
952	4252	209
953	4255	205
954	4260	200
955	4263	196
956	4266	191
957	4273	187
958	4277	182
959	4283	178
960	4289	174
961	4295	169
962	4301	165
963	4306	160
964	4311	156
965	4314	151
966	4317	147
967	4320	142
968	4323	138
969	4327	133
970	4330	129
971	4333	124
972	4336	120
973	4341	115
974	4345	111
975	4350	106
976	4356	102
977	4360	98
978	4363	93
979	4367	89
980	4371	84
981	4374	80
982	4378	75
983	4384	71
984	4388	66
985	4392	62
986	4395	57
987	4400	53
988	4407	49
989	4412	44
990	4418	40
991	4423	35
992	4428	31
993	4436	26
994	4445	22
995	4448	17
996	4452	13
997	4456	8
998	4463	4
999	4469	0
